date,new_diagnoses,new_deaths
2020-01-30,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,1,0
2020-03-12,0,0
2020-03-13,1,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,1,0
2020-03-18,1,0
2020-03-19,4,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0,0
2020-03-25,0,0
2020-03-26,0,0
2020-03-27,0,0
2020-03-28,1,0
2020-03-29,0,0
2020-03-30,0,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,2,0
2020-04-03,44,0
2020-04-04,5,0
2020-04-05,1,0
2020-04-06,5,0
2020-04-07,0,0
2020-04-08,0,0
2020-04-09,3,0
2020-04-10,0,0
2020-04-11,4,0
2020-04-12,8,0
2020-04-13,31,0
2020-04-14,2,0
2020-04-15,27,0
2020-04-16,56,0
2020-04-17,4,0
2020-04-18,0,0
2020-04-19,3,0
2020-04-20,1,0
2020-04-21,2,0
2020-04-22,4,0
2020-04-23,4,0
2020-04-24,9,0
2020-04-25,2,0
2020-04-26,4,0
2020-04-27,4,0
2020-04-28,2,0
2020-04-29,9,0
2020-04-30,6,0
2020-05-01,5,0
2020-05-02,0,0
2020-05-03,5,0
2020-05-04,3,0
2020-05-05,7,0
2020-05-06,2,0
2020-05-07,2,0
2020-05-08,7,0
2020-05-09,0,0
2020-05-10,4,0
2020-05-11,13,1
2020-05-12,7,0
2020-05-13,9,0
2020-05-14,3,0
2020-05-15,8,0
2020-05-16,3,0
2020-05-17,7,0
2020-05-18,3,0
2020-05-19,3,1
2020-05-20,2,0
2020-05-21,7,0
2020-05-22,2,0
2020-05-23,0,0
2020-05-24,0,0
2020-05-25,9,0
2020-05-26,6,0
2020-05-27,8,0
2020-05-28,14,0
2020-05-29,13,1
2020-05-30,7,1
2020-05-31,10,0
2020-06-01,7,0
2020-06-02,6,0
2020-06-03,15,0
2020-06-04,7,0
2020-06-05,5,2
2020-06-06,10,0
2020-06-07,13,2
2020-06-08,8,0
2020-06-09,21,0
2020-06-10,10,0
2020-06-11,37,0
2020-06-12,25,1
2020-06-13,40,0
2020-06-14,35,0
2020-06-15,37,0
2020-06-16,19,0
2020-06-17,21,2
2020-06-18,17,1
2020-06-19,37,0
2020-06-20,21,1
2020-06-21,29,1
2020-06-22,66,0
2020-06-23,37,0
2020-06-24,36,1
2020-06-25,34,2
2020-06-26,31,1
2020-06-27,25,0
2020-06-28,24,0
2020-06-29,55,1
2020-06-30,24,2
2020-07-01,63,0
2020-07-02,81,0
2020-07-03,94,1
2020-07-04,111,1
2020-07-05,122,0
2020-07-06,115,1
2020-07-07,84,1
2020-07-08,171,0
2020-07-09,149,2
2020-07-10,179,2
2020-07-11,164,2
2020-07-12,160,4
2020-07-13,193,3
2020-07-14,279,3
2020-07-15,195,4
2020-07-16,286,0
2020-07-17,266,1
2020-07-18,280,5
2020-07-19,220,4
2020-07-20,224,6
2020-07-21,279,6
2020-07-22,305,2
2020-07-23,331,2
2020-07-24,274,7
2020-07-25,412,6
2020-07-26,271,10
2020-07-27,273,7
2020-07-28,329,4
2020-07-29,411,3
2020-07-30,548,3
2020-07-31,382,5
2020-08-01,519,9
2020-08-02,400,5
2020-08-03,547,4
2020-08-04,523,6
2020-08-05,571,9
2020-08-06,594,8
2020-08-07,660,5
2020-08-08,677,8
2020-08-09,605,6
2020-08-10,530,12
2020-08-11,576,5
2020-08-12,612,10
2020-08-13,647,7
2020-08-14,715,6
2020-08-15,442,7
2020-08-16,550,10
2020-08-17,667,7
2020-08-18,715,7
2020-08-19,631,13
2020-08-20,713,10
2020-08-21,621,12
2020-08-22,687,7
2020-08-23,457,5
2020-08-24,663,10
2020-08-25,706,10
2020-08-26,674,9
2020-08-27,743,11
2020-08-28,792,5
2020-08-29,869,6
2020-08-30,560,15
2020-08-31,952,13
2020-09-01,744,14
2020-09-02,855,9
2020-09-03,933,8
2020-09-04,899,20
2020-09-05,961,20
2020-09-06,688,12
2020-09-07,1039,7
2020-09-08,1047,10
2020-09-09,1073,11
2020-09-10,1186,12
2020-09-11,943,11
2020-09-12,969,10
2020-09-13,911,17
2020-09-14,1006,7
2020-09-15,1187,14
2020-09-16,1066,8
2020-09-17,1048,13
2020-09-18,814,11
2020-09-19,990,9
2020-09-20,930,14
2020-09-21,767,7
2020-09-22,723,10
2020-09-23,696,14
2020-09-24,578,8
2020-09-25,561,14
2020-09-26,583,10
2020-09-27,478,9
2020-09-28,509,10
2020-09-29,570,6
2020-09-30,508,11
2020-10-01,491,6
2020-10-02,505,11
2020-10-03,482,7
2020-10-04,408,7
2020-10-05,536,6
2020-10-06,446,2
2020-10-07,413,7
2020-10-08,402,12
2020-10-09,341,6
2020-10-10,280,5
2020-10-11,284,3
2020-10-12,332,13
2020-10-13,307,3
2020-10-14,307,4
2020-10-15,292,7
2020-10-16,330,3
2020-10-17,290,8
2020-10-18,219,6
2020-10-19,332,7
2020-10-20,310,3
2020-10-21,280,3
2020-10-22,287,9
2020-10-23,326,6
2020-10-24,310,8
2020-10-25,188,3
2020-10-26,276,5
2020-10-27,275,3
2020-10-28,295,3
2020-10-29,259,2
2020-10-30,277,5
2020-10-31,263,5
2020-11-01,213,3
2020-11-02,287,4
2020-11-03,285,3
2020-11-04,252,9
2020-11-05,159,3
2020-11-06,244,5
2020-11-07,242,3
2020-11-08,180,3
2020-11-09,229,2
2020-11-10,314,0
2020-11-11,313,4
2020-11-12,319,5
2020-11-13,282,3
2020-11-14,157,4
2020-11-15,179,2
2020-11-16,292,3
2020-11-17,402,6
2020-11-18,336,2
2020-11-19,360,7
2020-11-20,347,1
2020-11-21,396,5
2020-11-22,256,2
2020-11-23,340,5
2020-11-24,357,4
2020-11-25,339,3
2020-11-26,275,1
2020-11-27,336,6
2020-11-28,309,8
